,state,x,y
0,Andaman and Nicobar Islands,172,-222
1,Andhra Pradesh,-52,-136
2,Arunachal Pradesh,208,116
3,Assam,177,75
4,Bihar,44,52
5,Chhattisgarh,-22,-47
6,Dadra and Nagar Haveli and Daman and Diu,-169,-67
7,Delhi,-54,119
8,Goa,-150,-130
9,Gujarat,-201,-6
10,Haryana,-72,125
11,Himachal Pradesh,-54,165
12,Jharkhand,7,-14
13,Karnataka,-123,-129
14,Kerala,-112,-241
15,Lakshadweep,-168,-257
16,Madhya Pradesh,-73,15
17,Maharashtra,-123,-56
18,Manipur,193,46
19,Meghalaya,150,32
20,Mizoram,177,5
21,Nagaland,205,74
22,Odisha,41,-34
23,Puducherry,-51,-219
24,Punjab,-84,166
25,Rajasthan,-107,87
26,Sikkim,145,100
27,Tamil Nadu,-73,-235
28,Telangana,-64,-84
29,Tripura,160,42
30,Chandigarh,-61,158
31,Jammu and Kashmir,-65,229
32,Ladakh,-37,242
33,Uttar Pradesh,-29,84
34,Uttarakhand,-18,145
